# Scatterer — русская локализация UI (окна настроек океана/атмосферы/солнца)
# Формат: Английский<TAB>Русский. Извлечено из Scatterer.dll (strings + IL-анализ ldstr).

# --- Главное окно / вкладки ---
Planet settings	Настройки планеты
Normal bias (0 for no override)	Смещение нормалей (0 — без переопределения)
Lens flare shader	Шейдер блика объектива
Integrate effects with EVE clouds (may require restart)	Интегрировать эффекты с облаками EVE (может потребоваться перезапуск)
Override Near ClipPlane (not recommended - restart on disable)	Переопределить ближнюю плоскость отсечения (не рекомендуется — при отключении нужен перезапуск)
Use dithering (Reduces color banding in sky and scattering, disable if you notice dithering patterns	Использовать дизеринг (уменьшает цветовые полосы в небе и рассеянии; отключите, если заметны паттерны дизеринга)

# --- Sunflare ---
Edit Selected	Редактировать выбранное
Reimport	Повторный импорт
Apply	Применить
Sun	Солнце
Copy to clipboard	Скопировать в буфер обмена
Print to Log	Вывести в лог

# --- Config points / Atmosphere tuning ---
New point altitude:	Высота новой точки:
Add	Добавить
Config point:	Точка конфигурации:
Delete	Удалить
Point altitude	Высота точки
(settings with a * are global and not cfgPoint dependent)	(настройки с * общие и не зависят от конфигурационной точки)
Sky	Небо
Sky Alpha	Альфа неба
Sky Extinction Tint	Оттенок затухания неба
Scattering and Extinction	Рассеяние и затухание
Extinction Thickness (scaled+local)	Толщина затухания (масштаб+локально)
Noon Sunlight Extinction strength*	Сила затухания полуденного солнечного света*
Post Processing	Постобработка
Post Processing Alpha	Альфа постобработки
Post Processing Depth	Глубина постобработки
Godrays	Лучи солнца сквозь облака
Legacy Godrays strength*	Сила лучей солнца (старый метод)*
Set	Установить
EVE integration	Интеграция с EVE
2d Cloud Sky irradiance Multiplier*	Множитель освещённости 2D-облаков от неба*
Particle Volumetrics Color Multiplier*	Множитель цвета объёмных частиц*
Preserve 2d cloud colors*	Сохранять цвета 2D-облаков*
Toggle	Переключить
ScaledSpace model	Модель ScaledSpace
RimBlend*	RimBlend (смешение обводки)*
RimPower*	RimPower (сила обводки)*
Spec*: R	Блик*: R
shine*	блеск*
Flatten scaled mesh	Сгладить масштабированную сетку
Adjust scaled texture	Настроить масштабированную текстуру
Land (brightness/contrast/saturation)	Суша (яркость/контраст/насыщенность)
Ocean (brightness/contrast/saturation)	Океан (яркость/контраст/насыщенность)
Current state:Lowest configPoint, cfgPoint 0	Текущее состояние: самая нижняя точка конфигурации, cfgPoint 0
Save atmo	Сохранить атмосферу
Load atmo	Загрузить атмосферу
Save ocean	Сохранить океан
Load ocean	Загрузить океан
Apply settings/Rebuild ocean	Применить настройки/Пересоздать океан

# --- Atmosphere config point details ---
Atmosphere start radius     	Начальный радиус атмосферы
Scale start radius	Начальный радиус масштабирования
Atmo height (auto)	Высота атмосферы (авто)
Rayleigh Scattering - Beta_R:	Рассеяние Рэлея — Beta_R:
Thicken	Утолщение
Go	Перейти
Mie Scattering - Beta_MSca:	Рассеяние Ми — Beta_MSca:
Mie G (Mie phase function asymmetry)	Mie G (асимметрия фазовой функции Ми)
Rayleigh density scale height	Высота масштабирования плотности Рэлея
HR (in KM)	HR (в км)
Mie density scale height	Высота масштабирования плотности Ми
HM (in KM)	HM (в км)
Ozone absorption:	Поглощение озоном:
Ozone layer altitude (km)	Высота озонового слоя (км)
Ozone layer falloff/extents (km)	Спад/протяжённость озонового слоя (км)
Auto rescale	Автомасштабирование
Average ground reflectance	Средняя отражающая способность поверхности
Generate	Сгенерировать
Delete atmo cache	Удалить кэш атмосферы

# --- Ocean physical model (ModularGUI panel) ---
To apply press "rebuild ocean" and wait	Чтобы применить, нажмите «Пересоздать океан» и подождите
Keep in mind this saves your current settings	Учтите: это сохранит ваши текущие настройки
Waves physical model settings	Настройки физической модели волн
Wave amplitude (AMP)	Амплитуда волн (AMP)
Wind Speed (m/s)	Скорость ветра (м/с)
Omega (inverse wave age)	Omega (обратный возраст волны)
Gravity (m/s², set to 0 for auto)	Гравитация (м/с², 0 — автоматически)
Off screen vertex coverage (Increase with big waves)	Покрытие вершин за экраном (увеличьте при больших волнах)
Surface shading settings	Настройки затенения поверхности
Transparency Depth	Глубина прозрачности
Foam strength (m_whiteCapStr)	Сила пены (m_whiteCapStr)
Shore/shallow foam strength	Сила пены у берега/на мелководье
Far foam strength (m_farWhiteCapStr)	Сила дальней пены (m_farWhiteCapStr)
Far foam strength radius (alphaRadius)	Радиус дальней пены (alphaRadius)
Sky reflection strength	Сила отражения неба
Underwater shading Settings	Настройки подводного затенения
Refraction Index	Коэффициент преломления
Darkness Depth	Глубина затемнения
Caustics/lightrays Settings	Настройки каустики/лучей света
Caustics texture path	Путь к текстуре каустики
Caustics texture multiply	Множитель текстуры каустики
Caustics underwater light boost	Усиление подводного света от каустики
Caustics minimum brightness (of dark areas in the caustics texture)	Минимальная яркость каустики (тёмных участков текстуры каустики)
Caustics blur depth	Глубина размытия каустики
Light rays strength	Сила лучей света
Performance settings	Настройки производительности
Current fourierGridSize (change from KSC menu): 	Текущий fourierGridSize (изменяется из меню КЦК):
Current mesh resolution (change from KSC menu): 	Текущее разрешение сетки (изменяется из меню КЦК):

# --- Ре-свип (расширенный 31-перехватный фреймворк): GUIfloat / ModularGUI / камера ---
# GUIfloat-метки точки конфигурации (ConfigPointGUI.GUIfloat -> GUILayout.Label)
Sky Exposure	Экспозиция неба
Scattering Exposure (scaled+local)	Экспозиция рассеяния (масштаб+локально)
Extinction Tint (scaled+local)	Оттенок затухания (масштаб+локально)
2d Cloud Color Multiplier*	Множитель цвета 2D-облаков*
2d Cloud Scattering Multiplier*	Множитель рассеяния 2D-облаков*
# Модули ModularGUI физической модели океана (GUIModuleVector2/Vector3 -> GUILayout.Label)
Ocean Upwelling Color	Цвет толщи океана
Ocean Underwater Color	Подводный цвет океана
Caustics layer 1 scale	Масштаб слоя 1 каустики
caustics layer 1 speed	Скорость слоя 1 каустики
Caustics Layer 2 scale	Масштаб слоя 2 каустики
caustics Layer 2 speed	Скорость слоя 2 каустики
# Прочие метки полётного/KSC-окна (GUILayout.Label; строка камеры = префикс[Активно/Неактивно]+режим, конкатенация до Label -> перечислены обе комбинации)
Inactive in tracking station and VAB/SPH	Неактивно в центре слежения и VAB/SPH
[Active] Unified camera mode (1.9+ Directx11):	[Активно] Единый режим камеры (1.9+ DirectX11):
[Inactive] Unified camera mode (1.9+ Directx11):	[Неактивно] Единый режим камеры (1.9+ DirectX11):
[Active] Dual camera mode (1.8, 1.9 and 1.10 Opengl):	[Активно] Двухкамерный режим (1.8, 1.9 и 1.10 OpenGL):
[Inactive] Dual camera mode (1.8, 1.9 and 1.10 Opengl):	[Неактивно] Двухкамерный режим (1.8, 1.9 и 1.10 OpenGL):
