# AtmosphereAutopilot — UI strings extracted from AtmosphereAutopilot.dll + AtmosphereAutopilot.UI.dll
# (v1.6.1.0 / UI v1.0.0.0). Two extraction passes were needed:
#  1) `strings -a` on the raw DLL bytes (finds identifiers + AutoGuiAttr/AutoHotkeyAttr custom
#     attribute argument strings, which .NET stores as compact UTF-8 in the attribute blob heap).
#  2) A custom UTF-16LE scanner (macOS `strings` cannot see this) for ldstr literals used directly
#     in GUILayout.Label/Window calls — this is where most toast messages and window titles live.
# Skipped by design: type/method/field identifiers, ConfigNode persistence keys (snake_case),
# .pdb/.dll paths, exception messages from the internal matrix-math library, version/GUID/copyright
# metadata, string.Format templates with {0}-style placeholders (the substituted runtime text never
# equals the template, so they can never match), and strings containing an embedded literal newline
# (the loader's File.ReadAllLines splits on those before the tab-parser ever sees them, so such
# strings can never be represented as a single dictionary line).


# --- Window / panel titles ---
Hotkeys manager	Менеджер горячих клавиш
FBW moderation	Ограничение ЭДСУ
FBW rocket mode	Ракетный режим ЭДСУ
FBW coord turn	Координированный разворот ЭДСУ

# --- Diagnostics / telemetry column labels ---
ang vel = 	угл. скорость = 
ang acc = 	угл. ускорение = 
AoA = 	Угол атаки = 
SPD = 	Скорость = 
pitch	тангаж
roll	крен
angular error	угловая ошибка
angular acc	угловое ускорение
angular vel	угловая скорость
output acceleration	выходное ускорение
output	выход
authority	эффективность управления
Input deriv limit	Предел производной ввода
Max v construction	Макс. скорость (расчёт)
DEBUG desired_v	ОТЛАДКА: desired_v
quadr Kp	Kp (квадратичный)
pid_Kp	Kp (ПИД)
pid_Ki	Ki (ПИД)
pid_Kd	Kd (ПИД)
strength	интенсивность
strength_mult	множитель интенсивности
max value decay	макс. затухание значения
linear criteria	критерий линейности
max age	макс. возраст
linear decay factor	коэфф. линейного затухания
nonlinear decay factor	коэфф. нелинейного затухания
zero immediate	мгновенное обнуление
base gen weight	базовый вес генерации
break spd margin %	запас скорости торможения, %

# --- Vessel-model / thrust-balancing panel ---
Thrust balancing	Балансировка тяги
Lift acc	Ускорение подъёмной силы
Slide acc	Боковое ускорение
Vessel mass	Масса корабля
Reaction wheels	Маховики
RCS pos	RCS (полож.)
RCS neg	RCS (отриц.)

# --- AtmosphereAutopilot.UI.dll (Unity Canvas UI: status line text, keep-direction label) ---
DISABLED	ОТКЛЮЧЕНО
FLYBYWIRE	ЭДСУ
CRUISECTRL	КРУИЗ-КОНТРОЛЬ
MOUSEDIR	МЫШЬ
picking waypoint	выбор путевой точки
keep direction	сохранять направление

# === RE-SWEEP (2026-07): strings newly reachable via the expanded 31-hook framework ===
# GUIStyle overloads of GUILayout.Toggle/Button/Label (patched) + UnityEngine.UI.Text.text
# setter + AutoGuiAttr reflection fields. Verified in IL: each reaches a patched sink
# unmodified (no Concat/Format/ToString/ConfigNode in the path).

# --- Cruise Flight controller: compact toggle/button labels (GUIStyle overloads) ---
Tgt	Цель
Wpt	Точка
V/S	Верт. скорость
FPA	Угол траектории

# --- Autopilot module manager: per-module show-window toggle ---
GUI	Окно

# --- Speed/thrust controller: 'OFF' state (Toggle label + AtmosphereAutopilot.UI.dll set_text)
# unit abbreviations ms/kts/M/ias/kias kept Latin per rule 4 (чистые обозначения единиц) ---
OFF	ВЫКЛ.

# --- Craft settings / trainer diagnostics: styled labels ---
profiles	профили
linmodel:	лин. модель:

# --- AutoGuiAttr reflection field labels (rendered bare via GUILayout, no colon) ---
# 'AoA' aligned to KerbalEngineer.txt's identical 'УА' (same meaning, flat dict must agree)
AoA	УА
MOI	Момент инерции
Kp_v	Kp (скор.)
linear	линейный
